# protein_xref_1	protein_xref_2	alternative_identifiers_1	alternative_identifiers_2	protein_alias_1	protein_alias_2	detection_method	author_name	pmid	protein_taxid_1	protein_taxid_2	interaction_type	source_database_id	database_identifier	confidence
uniprotkb:Q12959	uniprotkb:P27962	intact:EBI-357481|uniprotkb:Q12958|uniprotkb:A5YKK7|uniprotkb:B7ZMM0|uniprotkb:B9EIQ5|uniprotkb:D3DXB8|uniprotkb:D3DXB9|uniprotkb:B4DGU1|uniprotkb:B4DGZ8|uniprotkb:E7EWL7|uniprotkb:E9PG21	intact:EBI-11793889	psi-mi:dlg1_human(display_long)|uniprotkb:DLG1(gene name)|psi-mi:DLG1(display_short)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:hDlg(gene name synonym)	psi-mi:ve6_hpvme(display_long)|uniprotkb:E6(gene name)|psi-mi:E6(display_short)	psi-mi:MI:0084(phage display)	Ivarsson et al. (2014)	imex:IM-25074|pubmed:24550280	9606	10602	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-11793899|imex:IM-25074-14	intact-miscore:0.40
uniprotkb:P02751	uniprotkb:P06428	uniprotkb:FINC_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:FINC_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:25947|virhostnet-nrid:24739	virhostnet-miscore:0.32715574
uniprotkb:Q15369	uniprotkb:P06428	uniprotkb:ELOC_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:ELOC_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:14516|virhostnet-nrid:13735	virhostnet-miscore:0.32715574
uniprotkb:P60709	uniprotkb:P06428	uniprotkb:ACTB_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:ACTB_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:14415|virhostnet-nrid:13637	virhostnet-miscore:0.32715574
uniprotkb:Q16236	uniprotkb:P06422	uniprotkb:NF2L2_HUMAN	uniprotkb:VE2_HPV08	uniprotkb:NF2L2_HUMAN	uniprotkb:VE2_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22761572	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:5216|virhostnet-nrid:5191	virhostnet-miscore:0.32715574
uniprotkb:Q16236	uniprotkb:P06422	intact:EBI-2007911|uniprotkb:Q53RW6|uniprotkb:Q59HH2|uniprotkb:Q96F71|uniprotkb:B2RBU2|uniprotkb:B4E338|uniprotkb:E9PGJ7|dip:DIP-29971N	intact:EBI-7136851|intact:MINT-248448|intact:EBI-15990415	psi-mi:nf2l2_human(display_long)|uniprotkb:NFE2L2(gene name)|psi-mi:NFE2L2(display_short)|uniprotkb:NRF2(gene name synonym)|uniprotkb:Nuclear factor, erythroid derived 2, like 2(gene name synonym)|uniprotkb:HEBP1(gene name synonym)	psi-mi:ve2_hpv08(display_long)|uniprotkb:E2(gene name)|psi-mi:E2(display_short)	psi-mi:MI:1203(split luciferase complementation)	Muller et al. (2011)	pubmed:22761572|imex:IM-25807|doi:10.1371/journal.ppat.1002761	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-16048331|psi-mi:MI:0471|imex:IM-25807-271	author score:13.45|intact-miscore:0.37
uniprotkb:P46777	uniprotkb:P06428	uniprotkb:RL5_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:RL5_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:14451|virhostnet-nrid:13672	virhostnet-miscore:0.32715574
uniprotkb:P02792	uniprotkb:P06428	uniprotkb:FRIL_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:FRIL_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:27129|virhostnet-nrid:25824	virhostnet-miscore:0.32715574
uniprotkb:P68104	uniprotkb:P06430	uniprotkb:EF1A1_HUMAN	uniprotkb:VE7_HPV08	uniprotkb:EF1A1_HUMAN	uniprotkb:VE7_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:14682|virhostnet-nrid:13896	virhostnet-miscore:0.32715574
uniprotkb:P62753	uniprotkb:P06428	uniprotkb:RS6_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:RS6_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:14489|virhostnet-nrid:13709	virhostnet-miscore:0.32715574
uniprotkb:P62158	uniprotkb:P06422	intact:EBI-397435|uniprotkb:P02593|uniprotkb:P70667|uniprotkb:P99014|uniprotkb:Q13942|uniprotkb:Q53S29|uniprotkb:Q61379|uniprotkb:Q61380|uniprotkb:Q96HK3|uniprotkb:P0DP25|uniprotkb:P0DP24|uniprotkb:P0DP23	intact:EBI-7136851|intact:MINT-248448|intact:EBI-15990415	psi-mi:calm_human(display_long)|uniprotkb:CALM1(gene name)|psi-mi:CALM1(display_short)|uniprotkb:CALM(gene name synonym)|uniprotkb:CAM(gene name synonym)|uniprotkb:CAM1(gene name synonym)|uniprotkb:CALM2(gene name)|psi-mi:CALM2(display_short)|uniprotkb:CAMB(gene name synonym)|uniprotkb:CALM3(gene name)|psi-mi:CALM3(display_short)|uniprotkb:CAM3(gene name synonym)|uniprotkb:CAMC(gene name synonym)|uniprotkb:CAMIII(gene name synonym)|uniprotkb:CAM2(gene name synonym)|uniprotkb:CALML2(gene name synonym)	psi-mi:ve2_hpv08(display_long)|uniprotkb:E2(gene name)|psi-mi:E2(display_short)	psi-mi:MI:1203(split luciferase complementation)	Muller et al. (2011)	pubmed:22761572|imex:IM-25807|doi:10.1371/journal.ppat.1002761	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-16048775|imex:IM-25807-308|psi-mi:MI:0471	author score:4.87|intact-miscore:0.37
uniprotkb:P04406	uniprotkb:P06428	uniprotkb:G3P_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:G3P_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:26115|virhostnet-nrid:24877	virhostnet-miscore:0.32715574
uniprotkb:Q86VP1	uniprotkb:P06422	intact:EBI-529518|uniprotkb:O60398|uniprotkb:O95770|uniprotkb:Q13311|uniprotkb:Q9BQG5|uniprotkb:Q9UI88|uniprotkb:B4DKU7|uniprotkb:E7ENV2|uniprotkb:A4D196	intact:EBI-7136851|intact:MINT-248448|intact:EBI-15990415	psi-mi:taxb1_human(display_long)|uniprotkb:TRAF6-binding protein(gene name synonym)|uniprotkb:TAX1BP1(gene name)|psi-mi:TAX1BP1(display_short)|uniprotkb:T6BP(gene name synonym)|uniprotkb:PRO0105(orf name)	psi-mi:ve2_hpv08(display_long)|uniprotkb:E2(gene name)|psi-mi:E2(display_short)	psi-mi:MI:1203(split luciferase complementation)	Muller et al. (2011)	pubmed:22761572|imex:IM-25807|doi:10.1371/journal.ppat.1002761	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-16048848|psi-mi:MI:0471|imex:IM-25807-313	author score:48.03|intact-miscore:0.37
uniprotkb:Q86VP1	uniprotkb:P06422	uniprotkb:TAXB1_HUMAN	uniprotkb:VE2_HPV08	uniprotkb:TAXB1_HUMAN	uniprotkb:VE2_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22761572	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:11333|virhostnet-nrid:10665	virhostnet-miscore:0.32715574
uniprotkb:Q13813	uniprotkb:P06422	uniprotkb:SPTN1_HUMAN	uniprotkb:VE2_HPV08	uniprotkb:SPTN1_HUMAN	uniprotkb:VE2_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22761572	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:11321|virhostnet-nrid:10653	virhostnet-miscore:0.32715574
uniprotkb:Q13813	uniprotkb:P06422	intact:EBI-351450|uniprotkb:Q13186|uniprotkb:Q15324|uniprotkb:Q16606|uniprotkb:Q59EF1|uniprotkb:Q5VXV5|uniprotkb:Q5VXV6|uniprotkb:Q7Z6M5|uniprotkb:Q9P0V0|intact:EBI-4404719	intact:EBI-7136851|intact:MINT-248448|intact:EBI-15990415	psi-mi:sptn1_human(display_long)|uniprotkb:NEAS(gene name synonym)|uniprotkb:Spectrin, non-erythroid alpha subunit(gene name synonym)|uniprotkb:SPTAN1(gene name)|psi-mi:SPTAN1(display_short)|uniprotkb:SPTA2(gene name synonym)|uniprotkb:Alpha-II spectrin(gene name synonym)|uniprotkb:Fodrin alpha chain(gene name synonym)	psi-mi:ve2_hpv08(display_long)|uniprotkb:E2(gene name)|psi-mi:E2(display_short)	psi-mi:MI:1203(split luciferase complementation)	Muller et al. (2011)	pubmed:22761572|imex:IM-25807|doi:10.1371/journal.ppat.1002761	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-16049028|psi-mi:MI:0471|imex:IM-25807-328	author score:7.16|intact-miscore:0.37
uniprotkb:P11021	uniprotkb:P06422	uniprotkb:BIP_HUMAN	uniprotkb:VE2_HPV08	uniprotkb:BIP_HUMAN	uniprotkb:VE2_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22761572	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:11119|virhostnet-nrid:10451	virhostnet-miscore:0.32715574
uniprotkb:P11021	uniprotkb:P06422	intact:EBI-354921|uniprotkb:Q2EF78|uniprotkb:Q9NPF1|uniprotkb:Q9UK02|uniprotkb:B0QZ61	intact:EBI-7136851|intact:MINT-248448|intact:EBI-15990415	psi-mi:bip_human(display_long)|uniprotkb:Heat shock protein family A member 5(gene name synonym)|uniprotkb:HSPA5(gene name)|psi-mi:HSPA5(display_short)|uniprotkb:GRP78(gene name synonym)|uniprotkb:Immunoglobulin heavy chain-binding protein(gene name synonym)|uniprotkb:78 kDa glucose-regulated protein(gene name synonym)|uniprotkb:Binding-immunoglobulin protein(gene name synonym)|uniprotkb:Heat shock protein 70 family protein 5(gene name synonym)	psi-mi:ve2_hpv08(display_long)|uniprotkb:E2(gene name)|psi-mi:E2(display_short)	psi-mi:MI:1203(split luciferase complementation)	Muller et al. (2011)	pubmed:22761572|imex:IM-25807|doi:10.1371/journal.ppat.1002761	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-16048295|imex:IM-25807-268|psi-mi:MI:0471	author score:11.65|intact-miscore:0.37
uniprotkb:P11021	uniprotkb:P06428	uniprotkb:BIP_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:BIP_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:27615|virhostnet-nrid:26230	virhostnet-miscore:0.32715574
uniprotkb:P49023	uniprotkb:P06428	intact:EBI-702209|uniprotkb:O14970|uniprotkb:O14971|uniprotkb:O60360|uniprotkb:B2RAI3|uniprotkb:Q5HYA4|uniprotkb:B7ZMB4	intact:EBI-7463243|intact:MINT-154050	psi-mi:paxi_human(display_long)|uniprotkb:PXN(gene name)|psi-mi:PXN(display_short)	psi-mi:ve6_hpv08(display_long)|uniprotkb:E6(gene name)|psi-mi:E6(display_short)	psi-mi:MI:0676(tandem affinity purification)	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	9606	10579	psi-mi:MI:0914(association)	psi-mi:MI:0471(MINT)	intact:EBI-11722493|psi-mi:MI:0471|imex:IM-25307-621	intact-miscore:0.35
uniprotkb:P49023	uniprotkb:P06428	uniprotkb:PAXI_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:PAXI_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0676(tandem affinity purification)	-	pubmed:22810586	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:13752|virhostnet-nrid:12992	virhostnet-miscore:0.32715574
uniprotkb:Q12959	uniprotkb:P06428	intact:EBI-357481|uniprotkb:Q12958|uniprotkb:A5YKK7|uniprotkb:B7ZMM0|uniprotkb:B9EIQ5|uniprotkb:D3DXB8|uniprotkb:D3DXB9|uniprotkb:B4DGU1|uniprotkb:B4DGZ8|uniprotkb:E7EWL7|uniprotkb:E9PG21	intact:EBI-7463243|intact:MINT-154050	psi-mi:dlg1_human(display_long)|uniprotkb:DLG1(gene name)|psi-mi:DLG1(display_short)|uniprotkb:Synapse-associated protein 97(gene name synonym)|uniprotkb:hDlg(gene name synonym)	psi-mi:ve6_hpv08(display_long)|uniprotkb:E6(gene name)|psi-mi:E6(display_short)	psi-mi:MI:0096(pull down)	Pim et al. (2002)	mint:MINT-5215927|pubmed:12444549	9606	10579	psi-mi:MI:0407(direct interaction)	psi-mi:MI:0471(MINT)	intact:EBI-8561220|mint:MINT-74911	intact-miscore:0.44
uniprotkb:P56524	uniprotkb:P06428	uniprotkb:HDAC4_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:HDAC4_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22810586	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:27898|virhostnet-nrid:26498	virhostnet-miscore:0.32715574
uniprotkb:P56524	uniprotkb:P06428	intact:EBI-308629|uniprotkb:Q9UND6|uniprotkb:E9PGB9|uniprotkb:F5GX36|uniprotkb:Q86YH7	intact:EBI-7463243|intact:MINT-154050	psi-mi:hdac4_human(display_long)|uniprotkb:HDAC4(gene name)|psi-mi:HDAC4(display_short)|uniprotkb:KIAA0288(gene name synonym)	psi-mi:ve6_hpv08(display_long)|uniprotkb:E6(gene name)|psi-mi:E6(display_short)	psi-mi:MI:0397(two hybrid array)	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-11737935|psi-mi:MI:0471|imex:IM-25307-769	intact-miscore:0.37
uniprotkb:P14625	uniprotkb:P06428	uniprotkb:ENPL_HUMAN	uniprotkb:VE6_HPV08	uniprotkb:ENPL_HUMAN	uniprotkb:VE6_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22898364	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:14529|virhostnet-nrid:13747	virhostnet-miscore:0.32715574
uniprotkb:P04637	uniprotkb:P06422	intact:EBI-366083|uniprotkb:Q15086|uniprotkb:Q15087|uniprotkb:Q15088|uniprotkb:Q16535|uniprotkb:Q16807|uniprotkb:Q16808|uniprotkb:Q16809|uniprotkb:Q16810|uniprotkb:Q16811|uniprotkb:Q16848|uniprotkb:Q86UG1|uniprotkb:Q8J016|uniprotkb:Q99659|uniprotkb:Q9BTM4|uniprotkb:Q9HAQ8|uniprotkb:Q9NP68|uniprotkb:Q9NPJ2|uniprotkb:Q9NZD0|uniprotkb:Q9UBI2|uniprotkb:Q9UQ61|uniprotkb:Q2XN98|uniprotkb:Q3LRW1|uniprotkb:Q3LRW2|uniprotkb:Q3LRW3|uniprotkb:Q3LRW4|uniprotkb:Q3LRW5|dip:DIP-368N	intact:EBI-7136851|intact:MINT-248448|intact:EBI-15990415	psi-mi:p53_human(display_long)|uniprotkb:TP53(gene name)|psi-mi:TP53(display_short)|uniprotkb:P53(gene name synonym)|uniprotkb:Tumor suppressor p53(gene name synonym)|uniprotkb:Phosphoprotein p53(gene name synonym)|uniprotkb:Antigen NY-CO-13(gene name synonym)	psi-mi:ve2_hpv08(display_long)|uniprotkb:E2(gene name)|psi-mi:E2(display_short)	psi-mi:MI:1203(split luciferase complementation)	Muller et al. (2011)	pubmed:22761572|imex:IM-25807|doi:10.1371/journal.ppat.1002761	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:0471(MINT)	intact:EBI-16048415|psi-mi:MI:0471|imex:IM-25807-278	author score:17.11|intact-miscore:0.37
uniprotkb:P04637	uniprotkb:P06422	uniprotkb:P53_HUMAN	uniprotkb:VE2_HPV08	uniprotkb:P53_HUMAN	uniprotkb:VE2_HPV08	psi-mi:MI:0018(two hybrid)	-	pubmed:22761572	9606	10579	psi-mi:MI:0915(physical association)	psi-mi:MI:1114(virhostnet)	virhostnet-rid:11367|virhostnet-nrid:10697	virhostnet-miscore:0.32715574
