Human	Herpes
P53803	Herpes:Q98140
P62875	Herpes:Q98140
Q5VWQ0	Herpes:Q9WRJ7
Q5VWQ0	Herpes:Q77UV1
P62136	Herpes:Q76TK5
P36873	Herpes:Q76TK5
Q96EP0	Herpes:D0UZN7
Q96QC0	Herpes:Q76RH5
Q96LA8	Herpes:F5HE15
P63151	Herpes:Q76S40
Q9NVI7	Herpes:P88970
P17612	Herpes:Q76RG1
Q66LE6	Herpes:Q76S40
P14314	Herpes:O40918
P27361	Herpes:Q77UV9
Q9NR28	Herpes:E5LBS6
Q9HD23	Herpes:O40917
Q15293	Herpes:P88970
Q14257	Herpes:P88970
P46063	Herpes:O40939
P25440	Herpes:D0UZS0
Q96AY3	Herpes:Q98138
P15927	Herpes:D0UZU1
Q99470	Herpes:P88970
Q9C0C9	Herpes:D0UZS0
P21912	Herpes:Q98131
Q9H4A6	Herpes:Q76RI8
P54132	Herpes:O40939
Q9C0E2	Herpes:F5HFG5
Q8IUQ4	Herpes:Q77UV9
Q14527	Herpes:D0UZU1
P12931	Herpes:Q9WNA9
P40763	Herpes:Q9DUM3
Q99442	Herpes:Q76SF8
Q99615	Herpes:W6AVY5
P54198	Herpes:D0UZU1
P35658	Herpes:E5LBS6
Q9H7D7	Herpes:Q98143
P27797	Herpes:P88970
Q96EE3	Herpes:E5LBS6
Q93077	Herpes:D0UZU1
P62807	Herpes:Q9DUM3
P58107	Herpes:O40939
Q13618	Herpes:Q76RI8
Q9Y6K9	Herpes:Q76RF1
P17152	Herpes:O36551
O95470	Herpes:O36551
O95714	Herpes:D0UZU1
P0C0S8	Herpes:Q9DUM3
Q86T03	Herpes:O36551
O43172	Herpes:F5HFL9
Q969Z0	Herpes:F5HFG5
Q9Y5Q8	Herpes:O36551
Q9UKN8	Herpes:O36551
Q96DI7	Herpes:O40939
Q71UI9	Herpes:D0UZU1
Q9Y287	Herpes:O40948
O95816	Herpes:W6AVY5
P13667	Herpes:D2XQB9
O75170	Herpes:E5LBX0
Q15020	Herpes:F5HFL9
Q96HA1	Herpes:D0UZL9
Q15397	Herpes:F5HBL8
Q9Y2W1	Herpes:Q98143
intact:EBI-7555615	Herpes:Q9WNA9
A4D1E9	Herpes:Q77UV1
A4D1E9	Herpes:Q9WRJ7
A6NFI3	Herpes:O40939
O00178	Herpes:D0UZS0
O00308	Herpes:F5HE15
O00330	Herpes:F5HBQ9
O00471	Herpes:O36551
O00507	Herpes:Q98143
O14548	Herpes:O36551
O14733	Herpes:O40948
O14773	Herpes:E5LBV4
O14787	Herpes:F5HFG5
O14949	Herpes:O36551
O15084	Herpes:E5LBX0
O15131	Herpes:F5HE15
O15131	Herpes:E5LBT9
O15211	Herpes:O92597
O15228	Herpes:Q98138
O15259	Herpes:Q9WNA9
O15381	Herpes:F5HBL8
O43148	Herpes:E5LBS6
O43149	Herpes:D2XQB9
O43237	Herpes:Q76RF3
O43255	Herpes:Q77UV9
O43427	Herpes:O36551
O43464	Herpes:Q98143
O43615	Herpes:O40948
O43709	Herpes:D0UZS0
O43759	Herpes:O36551
O43920	Herpes:O36551
O60547	Herpes:F5HE15
O60613	Herpes:D2XQB9
O75127	Herpes:Q76RH4
O75165	Herpes:Q98143
O75175	Herpes:E5LBX2
O75390	Herpes:E5LBS6
O75431	Herpes:O36551
O75487	Herpes:Q77Q82
O75521	Herpes:D0UZU1
O75592	Herpes:E5LBS6
O75683	Herpes:Q77ZG5
O75818	Herpes:D0UZP9
O94762	Herpes:Q98140
O94763	Herpes:Q98140
O94766	Herpes:Q77UU3
O94822	Herpes:O36551
O94826	Herpes:F5HBQ9
O94898	Herpes:D2XQB9
O95153	Herpes:Q9WNA9
O95167	Herpes:O36551
O95169	Herpes:O36551
O95219	Herpes:F5HFG5
O95249	Herpes:Q76RG2
O95260	Herpes:O36551
O95302	Herpes:O40939
O95478	Herpes:O40939
O95721	Herpes:Q98136
O95900	Herpes:Q76RH4
P00395	Herpes:O36551
P01891	Herpes:P88970
P04066	Herpes:E5LBS6
P04818	Herpes:F5HBQ9
P05026	Herpes:C7E599
P05026	Herpes:C7E5A9
P06280	Herpes:D2XQB9
P07093	Herpes:F5HE15
P07478	Herpes:O40939
P08559	Herpes:F5HBQ9
P09669	Herpes:O36551
P0C0L4	Herpes:F5HFG5
P0C0P6	Herpes:D0UZP9
P0CAP2	Herpes:Q98140
P10075	Herpes:O40921
P10176	Herpes:O36551
P10515	Herpes:F5HBQ9
P10606	Herpes:O36551
P10619	Herpes:Q9WRJ7
P10619	Herpes:Q77UV1
P11233	Herpes:O36551
P12955	Herpes:O40945
P13798	Herpes:E5LBS6
P15954	Herpes:O36551
P16278	Herpes:O92597
P16278	Herpes:Q77UV1
P16278	Herpes:Q9WRJ7
P18887	Herpes:D0UZU1
P19404	Herpes:O36551
P20073	Herpes:Q76RH0
P20719	Herpes:O92597
P22234	Herpes:Q76S40
P22392	Herpes:Q76RH1
P27986	Herpes:Q9WNA9
P28370	Herpes:Q77UV1
P28370	Herpes:Q9WRJ7
P30566	Herpes:O40945
P31930	Herpes:O36551
P33316	Herpes:O40945
P35221	Herpes:O40948
P35244	Herpes:D0UZU1
P35610	Herpes:O36551
P36897	Herpes:O40948
P36957	Herpes:F5HBQ9
P36969	Herpes:O40945
P37198	Herpes:E5LBS6
P38606	Herpes:F5HFG5
P40189	Herpes:Q98823
P40189	Herpes:O40918
P40855	Herpes:Q76RI2
P42568	Herpes:Q76RH5
P42680	Herpes:Q9WNA9
P42773	Herpes:F5HC81
P43378	Herpes:Q77ZG4
P46108	Herpes:O40931
P46527	Herpes:F5HC81
P49821	Herpes:O36551
P50897	Herpes:Q76RH3
P51149	Herpes:F5HC81
P51553	Herpes:C7E599
P51553	Herpes:C7E5A9
P51812	Herpes:Q77UV9
P53701	Herpes:Q76RI2
P53801	Herpes:Q98136
P56277	Herpes:O40945
P56537	Herpes:F5HBL8
P56545	Herpes:O40945
P57772	Herpes:Q77UV9
P58546	Herpes:O40945
P61421	Herpes:O36551
P62140	Herpes:Q76TK5
P62310	Herpes:F5HFL9
P62699	Herpes:Q98143
P78332	Herpes:E5LBS6
P78356	Herpes:D0UZU1
P79522	Herpes:Q76RH4
P82909	Herpes:F5HBQ9
P82932	Herpes:Q76RH4
P83111	Herpes:F5HBL8
P85037	Herpes:Q77UV9
P98173	Herpes:D2XQB9
Q00526	Herpes:F5HC81
Q00534	Herpes:F5HC81
Q00535	Herpes:F5HC81
Q01167	Herpes:Q77UV9
Q01433	Herpes:Q77UV9
Q01831	Herpes:D0UZU1
Q02218	Herpes:F5HBQ9
Q02952	Herpes:O40939
Q04721	Herpes:D2XQB9
Q05469	Herpes:Q76RH4
Q06124	Herpes:O40945
Q06190	Herpes:Q98143
Q08AD1	Herpes:O40913
Q09328	Herpes:Q76SF8
Q10471	Herpes:Q76SF8
Q12789	Herpes:O36551
Q12800	Herpes:Q77Q82
Q12899	Herpes:Q9WRJ7
Q12899	Herpes:Q77UV1
Q13308	Herpes:O40948
Q13363	Herpes:O40945
Q13370	Herpes:Q76RF3
Q14195	Herpes:D0UZU1
Q14493	Herpes:O92597
Q14517	Herpes:D2XQB9
Q14681	Herpes:Q98143
Q14694	Herpes:Q76RH4
Q15014	Herpes:Q77UV9
Q15042	Herpes:Q77ZG4
Q15155	Herpes:Q98138
Q15349	Herpes:Q77UV9
Q15386	Herpes:F5HFG5
Q15418	Herpes:Q77UV9
Q15435	Herpes:Q76TK5
Q1ED39	Herpes:O92597
Q2NKX8	Herpes:O40939
Q30KQ2	Herpes:O40939
Q4G0N4	Herpes:F5HBQ9
Q4KMP7	Herpes:D0UZU1
Q53GT1	Herpes:Q76RI8
Q5JV73	Herpes:Q76RF5
Q5QP82	Herpes:Q76RH3
Q5SY16	Herpes:P88968
Q5T0T0	Herpes:O40921
Q5T2T1	Herpes:Q76RI8
Q5T447	Herpes:D2XQB9
Q5UCC4	Herpes:Q76SF8
Q5VT98	Herpes:O36551
Q66PJ3	Herpes:Q77UV1
Q66PJ3	Herpes:Q9WRJ7
Q68D85	Herpes:O40948
Q6GYQ0	Herpes:O40939
Q6IAA8	Herpes:O36551
Q6P587	Herpes:O40948
Q6PD62	Herpes:D0UZS3
Q6PD62	Herpes:Q9DUN1
Q6UN15	Herpes:Q98143
Q6VN20	Herpes:Q98143
Q6YHU6	Herpes:O36551
Q6ZN17	Herpes:O92597
Q6ZSJ8	Herpes:O92597
Q709F0	Herpes:Q77UV9
Q7KZN9	Herpes:C7E599
Q7KZN9	Herpes:C7E5A9
Q7L0Y3	Herpes:Q76RH4
Q7L1Q6	Herpes:Q76RH3
Q7L5Y9	Herpes:Q98143
Q7L7X3	Herpes:O40939
Q7Z478	Herpes:O40939
Q7Z4Q2	Herpes:F5HFG5
Q7Z5N4	Herpes:O92608
Q7Z6M1	Herpes:F5H9K4
Q7Z7L7	Herpes:Q76RJ0
Q86T65	Herpes:Q76RH0
Q86TM6	Herpes:O36551
Q86U28	Herpes:O40945
Q86XK2	Herpes:P88968
Q86YS7	Herpes:O36551
Q8IUR7	Herpes:Q98143
Q8IV63	Herpes:D0UZU1
Q8IVS2	Herpes:Q9WRJ7
Q8IVS2	Herpes:Q77UV1
Q8IVV7	Herpes:Q98143
Q8IX15	Herpes:O40939
Q8IXW5	Herpes:Q98140
Q8IYB3	Herpes:Q77ZG5
Q8IZ52	Herpes:D2XQB9
Q8IZL8	Herpes:P88968
Q8IZT6	Herpes:O36551
Q8N1B4	Herpes:O36551
Q8N3Y7	Herpes:Q76RH4
Q8N4L2	Herpes:O36551
Q8N567	Herpes:O92597
Q8N5P1	Herpes:O92597
Q8N5Z5	Herpes:Q98143
Q8N878	Herpes:F5HFG5
Q8N8A2	Herpes:E5LBX0
Q8N8J7	Herpes:Q76RI2
Q8N9R8	Herpes:D0UZU1
Q8NB46	Herpes:E5LBX0
Q8NB49	Herpes:O36551
Q8NC60	Herpes:Q76RH4
Q8NDF8	Herpes:Q76RF6
Q8NG31	Herpes:Q76RH5
Q8TAA9	Herpes:O36551
Q8TBK6	Herpes:O92597
Q8TBX8	Herpes:D0UZU1
Q8TCG1	Herpes:F5HFG5
Q8WUD6	Herpes:O40948
Q8WV44	Herpes:F5HFL9
Q8WWI1	Herpes:Q77UV9
Q8WY36	Herpes:Q76RH4
Q8WYA0	Herpes:D0UZS0
Q92791	Herpes:Q98138
Q92882	Herpes:Q9WNA9
Q92901	Herpes:Q77Q82
Q93050	Herpes:O36551
Q969S3	Herpes:Q76RI8
Q96B36	Herpes:E5LBS6
Q96BQ5	Herpes:Q76SF8
Q96C12	Herpes:Q77UV9
Q96C92	Herpes:Q76S40
Q96DE5	Herpes:O40939
Q96EE4	Herpes:Q76SF8
Q96EL2	Herpes:Q76RH4
Q96ER3	Herpes:F5HFG5
Q96FX7	Herpes:D0UZP9
Q96GY0	Herpes:O92597
Q96IZ0	Herpes:Q77Q82
Q96JB5	Herpes:Q76RI2
Q96JN8	Herpes:D0UZU1
Q96KP1	Herpes:O36551
Q96MW5	Herpes:Q76RH3
Q96N66	Herpes:O36551
Q96P47	Herpes:O36551
Q96PD5	Herpes:Q76RF7
Q96PY6	Herpes:Q98143
Q96PZ0	Herpes:D0UZP9
Q96QD8	Herpes:O36551
Q96QT4	Herpes:O36551
Q96QU8	Herpes:F5HFG5
Q96RF0	Herpes:Q98143
Q96RR1	Herpes:D0UZU1
Q99536	Herpes:F5HC81
Q99735	Herpes:O36551
Q99805	Herpes:D2XQB9
Q9BQ04	Herpes:O92597
Q9BQ48	Herpes:O40939
Q9BRP8	Herpes:O92597
Q9BRQ6	Herpes:O36551
Q9BRX8	Herpes:O36551
Q9BTE7	Herpes:Q76RH3
Q9BTW9	Herpes:F5HFG5
Q9BV38	Herpes:P88968
Q9BVX2	Herpes:D2XQB9
Q9BW72	Herpes:O36551
Q9BXF6	Herpes:Q77UV9
Q9BY44	Herpes:Q9WRJ7
Q9BY44	Herpes:Q77UV1
Q9BYC8	Herpes:O40939
Q9BYJ9	Herpes:E5LBS6
Q9BZF1	Herpes:O36551
Q9BZF2	Herpes:Q76RG8
Q9C0C2	Herpes:E5LBX2
Q9C0H6	Herpes:Q98143
Q9C0J8	Herpes:Q98143
Q9GZT4	Herpes:O40948
Q9H0I2	Herpes:Q77Q82
Q9H1A3	Herpes:O40945
Q9H2K8	Herpes:O40939
Q9H3G5	Herpes:Q76RH5
Q9H4A5	Herpes:Q76RI8
Q9H4P4	Herpes:Q76RF7
Q9H5V9	Herpes:Q76S40
Q9H6F5	Herpes:E5LBU3
Q9H6F5	Herpes:Q76RI6
Q9H7B2	Herpes:D0UZP9
Q9H871	Herpes:Q98143
Q9H8M7	Herpes:O40945
Q9H8Y5	Herpes:O40939
Q9HA64	Herpes:O40945
Q9HCM4	Herpes:Q9WRJ7
Q9HCM4	Herpes:Q77UV1
Q9NP64	Herpes:Q77UV1
Q9NP64	Herpes:Q9WRJ7
Q9NPF4	Herpes:Q76RH5
Q9NPG3	Herpes:D0UZU1
Q9NQH7	Herpes:Q98143
Q9NRL2	Herpes:D0UZP9
Q9NTJ5	Herpes:Q76SF8
Q9NUL7	Herpes:O92597
Q9NUQ6	Herpes:Q9WRJ7
Q9NUQ6	Herpes:Q77UV1
Q9NUW8	Herpes:D0UZU1
Q9NV70	Herpes:O36551
Q9NVE7	Herpes:Q9DUN1
Q9NVE7	Herpes:D0UZS3
Q9NVS2	Herpes:O40939
Q9NW15	Herpes:Q76RI8
Q9NW64	Herpes:Q9DUM9
Q9NWU2	Herpes:Q98143
Q9NXF1	Herpes:P88968
Q9NXV2	Herpes:Q98143
Q9NYF8	Herpes:Q98143
Q9NYU1	Herpes:D2XQB9
Q9NZC7	Herpes:F5HE15
Q9NZC7	Herpes:E5LBT9
Q9NZI7	Herpes:Q77Q82
Q9NZL9	Herpes:O40945
Q9NZM3	Herpes:Q9WNA9
Q9P000	Herpes:F5HFG5
Q9P031	Herpes:O92597
Q9P0P0	Herpes:Q77ZG4
Q9P258	Herpes:O40945
Q9P2J3	Herpes:Q76RI8
Q9P2N5	Herpes:O92597
Q9UBU6	Herpes:O36551
Q9UDY2	Herpes:O40939
Q9UET6	Herpes:Q76RI2
Q9UGN5	Herpes:D0UZU1
Q9UHW5	Herpes:Q98140
Q9UI12	Herpes:O40948
Q9UIA9	Herpes:F5HFG5
Q9UIL1	Herpes:E5LBT9
Q9UIL1	Herpes:F5HE15
Q9UIV1	Herpes:E5LBX2
Q9UJ70	Herpes:O40939
Q9UKF6	Herpes:Q98143
Q9UL40	Herpes:O92597
Q9UL63	Herpes:Q98143
Q9ULF5	Herpes:O36551
Q9ULH0	Herpes:Q98136
Q9ULK5	Herpes:O36551
Q9ULM3	Herpes:O92597
Q9ULM6	Herpes:E5LBX2
Q9UPP1	Herpes:Q77ZG5
Q9UPT5	Herpes:O36551
Q9UPU5	Herpes:E5LBS6
Q9UPY6	Herpes:O40939
Q9UQ13	Herpes:O40917
Q9Y291	Herpes:Q76RH4
Q9Y2R0	Herpes:O36551
Q9Y2Z4	Herpes:Q76RH4
Q9Y3E0	Herpes:Q76RI2
Q9Y3E2	Herpes:E5LBS6
Q9Y4C1	Herpes:D0UZU1
Q9Y512	Herpes:O36551
Q9Y5L0	Herpes:F5HFG5
Q9Y5X1	Herpes:Q98143
Q9Y5X1	Herpes:Q9WNA9
Q9Y6H1	Herpes:W6AVY5
Q9Y6M9	Herpes:O36551
Q9Y6Y8	Herpes:Q77ZG4
P27694	Herpes:Q9QR71
P19525	Herpes:Q2HR71
O15111	Herpes:F5HEZ4
O14920	Herpes:F5HEZ4
O60684	Herpes:Q2HRB6
Q9UER7	Herpes:Q9QR71
P36507	Herpes:P0C788
P62993	Herpes:F5HDD0
P52294	Herpes:Q2HRB6
Q9UBC3	Herpes:Q9QR71
P05106	Herpes:F5HB81
Q86VP6	Herpes:Q2HRD4
P52948	Herpes:Q2HRC9
Q86V81	Herpes:Q2HR75
O00629	Herpes:Q2HRC8
P29590	Herpes:Q2HR82
O43395	Herpes:Q98157
Q92985	Herpes:F5HDE4
Q92985-1	Herpes:F5HDE4
Q92985	Herpes:F5HF68
Q92985	Herpes:F5HCV3
Q9Y6K1	Herpes:Q9QR71
P26358	Herpes:Q9QR71
O60885	Herpes:Q2HR75
P51608	Herpes:Q9QR71
P78406	Herpes:Q2HRC9
P27824	Herpes:Q2HRC7
Q6ZU65	Herpes:Q9QR71
Q9H6T3	Herpes:F5HFD2
Q7L7L0	Herpes:Q9QR71
Q9Y2B0	Herpes:F5HCJ2
P14735	Herpes:Q2HRB6
Q12933	Herpes:F5HEZ4
P15336	Herpes:Q9QR71
P15336	Herpes:Q2HR82
Q92793	Herpes:F5HF68
O00429	Herpes:Q2HRD4
O75787	Herpes:P90489
O75787	Herpes:P90495
P24941	Herpes:Q77Q36
P11802	Herpes:Q77Q36
O60678	Herpes:Q2HRC6
P42771	Herpes:Q77Q36
O00165	Herpes:Q9QR69
Q7L2H7	Herpes:F5HAW0
Q15596	Herpes:F5HCV3
Q13162	Herpes:Q2HRC6
Q07666	Herpes:Q2HRC6
P50990	Herpes:Q77Q36
Q9Y2Z0	Herpes:P90463
Q13438	Herpes:Q2HRB6
Q9H0M0	Herpes:Q2HRB6
O15504	Herpes:Q2HRC9
Q16543	Herpes:F5HEZ4
Q6PEY2	Herpes:P90495
Q9BZF3	Herpes:F5HFA1
P55060	Herpes:Q2HRD4
Q8N0U8	Herpes:F5HAD1
Q86U38	Herpes:Q2HRD4
Q14574	Herpes:P0C788
Q96HS1	Herpes:P90495
Q09472	Herpes:F5HF68
P11171	Herpes:Q9QR71
Q3ZAQ7	Herpes:P90495
P18074	Herpes:F5HGH5
Q8NC56	Herpes:P90495
Q9UPN7	Herpes:Q2HR85
Q9Y2J2	Herpes:Q9QR71
Q14697	Herpes:Q2HRC7
Q06136	Herpes:Q2HRD4
Q7Z739	Herpes:Q2HRC9
Q9UBB4	Herpes:Q2HRD4
Q9H4L5	Herpes:F5HFA1
Q9H4L4	Herpes:F5HCJ2
Q9UKV8	Herpes:Q2HRC9
Q9Y6E2	Herpes:Q2HRD4
Q96G23	Herpes:Q2HRD4
P0C0S5	Herpes:Q9QR71
P55084	Herpes:Q2HRC7
Q13547	Herpes:Q2HR82
Q92769	Herpes:Q2HR82
Q8IUE6	Herpes:Q9QR71
Q00839	Herpes:P90495
P34931	Herpes:P90489
Q14653	Herpes:F5HF68
O00505	Herpes:Q2HRC8
P49916	Herpes:Q9QR71
Q00987	Herpes:Q2HR73
P43246	Herpes:F5H8Y5
P19338	Herpes:Q2HR75
P19338	Herpes:P90495
P06748	Herpes:Q77Q36
Q99567	Herpes:Q2HRC9
Q8TED1	Herpes:Q98146
P12004	Herpes:F5HFA1
Q9UI26	Herpes:Q2HRD4
Q9NZT1	Herpes:P90495
Q00325	Herpes:P90495
P48426	Herpes:Q9QR71
Q15904	Herpes:P90495
P24928	Herpes:F5HFD2
P19387	Herpes:F5HFD2
O15514	Herpes:F5HFD2
P62487	Herpes:F5HFD2
P52434	Herpes:F5HFD2
P36954	Herpes:F5HFD2
P52435	Herpes:F5HFD2
P53803	Herpes:F5HFD2
P62875	Herpes:F5HFD2
Q96EP0	Herpes:Q2HRA7
Q96LA8	Herpes:Q2HRB6
P63151	Herpes:Q2HRC6
Q9NVP2	Herpes:F5HAW0
Q66LE6	Herpes:Q2HRC6
P14314	Herpes:Q2HRC7
Q9NR28	Herpes:Q2HRC9
Q9HD23	Herpes:Q2HRC8
P10415	Herpes:F5HGJ3
P25440	Herpes:Q2HR75
P15927	Herpes:Q9QR71
P31151	Herpes:P90495
Q9C0C9	Herpes:Q2HR75
Q9C0E2	Herpes:Q2HRD4
Q14527	Herpes:Q9QR71
P40763	Herpes:Q9QR71
Q99442	Herpes:Q98146
P54198	Herpes:Q9QR71
P13051	Herpes:Q9QR71
Q71U36	Herpes:P90495
P35658	Herpes:Q2HRC9
Q96EE3	Herpes:Q2HRC9
Q93077	Herpes:Q9QR71
Q14790	Herpes:F5HEZ4
Q9BQE3	Herpes:P90495
Q9Y6K9	Herpes:F5HEZ4
O95714	Herpes:Q9QR71
O43172	Herpes:Q98157
Q969Z0	Herpes:Q2HRD4
Q71UI9	Herpes:Q9QR71
Q9Y287	Herpes:P0C788
O75170	Herpes:Q2HR85
Q15020	Herpes:Q98157
Q96HA1	Herpes:P90495
A8MYV6	Herpes:Q9QR71
E7EPP6	Herpes:F5HGH5
O00178	Herpes:Q2HR75
O00308	Herpes:Q2HRB6
O00330	Herpes:P90463
O14733	Herpes:P0C788
O14773	Herpes:Q2HRA1
O14787	Herpes:Q2HRD4
O15084	Herpes:Q2HR85
O15131	Herpes:Q2HRB6
O43148	Herpes:Q2HRC9
O43615	Herpes:P0C788
O43709	Herpes:Q2HR75
O60547	Herpes:Q2HRB6
O75390	Herpes:Q2HRC9
O75521	Herpes:Q9QR71
O75592	Herpes:Q2HRC9
O94762	Herpes:F5HFD2
O94763	Herpes:F5HFD2
O94766	Herpes:F5HB81
O94808	Herpes:F5HGH5
O94826	Herpes:P90463
O95219	Herpes:Q2HRD4
P04066	Herpes:Q2HRC9
P04818	Herpes:P90463
P07093	Herpes:Q2HRB6
P08559	Herpes:P90463
P08887	Herpes:Q2HRC7
P0C0L4	Herpes:Q2HRD4
P0CAP2	Herpes:F5HFD2
P10075	Herpes:F5HF36
P10515	Herpes:P90463
P13798	Herpes:Q2HRC9
P17544	Herpes:Q2HR82
P18887	Herpes:Q9QR71
P22234	Herpes:Q2HRC6
P35221	Herpes:P0C788
P35244	Herpes:Q9QR71
P36897	Herpes:P0C788
P36957	Herpes:P90463
P37198	Herpes:Q2HRC9
P37198	Herpes:Q2HR75
P38606	Herpes:Q2HRD4
P40189	Herpes:Q2HRC7
P41218	Herpes:Q9QR71
P42773	Herpes:Q77Q36
P43378	Herpes:F5HAD1
P46108	Herpes:F5HDD0
P46527	Herpes:Q77Q36
P49069	Herpes:F5HDA4
P51149	Herpes:Q77Q36
P62310	Herpes:Q98157
P78332	Herpes:Q2HRC9
P78356	Herpes:Q9QR71
P82909	Herpes:P90463
Q00526	Herpes:Q77Q36
Q00534	Herpes:Q77Q36
Q00535	Herpes:Q77Q36
Q01831	Herpes:Q9QR71
Q02218	Herpes:P90463
Q08AD1	Herpes:Q2HRD3
Q09328	Herpes:Q98146
Q10471	Herpes:Q98146
Q13308	Herpes:P0C788
Q13748	Herpes:P90495
Q14195	Herpes:Q9QR71
Q15042	Herpes:F5HAD1
Q15386	Herpes:Q2HRD4
Q4G0N4	Herpes:P90463
Q4KMP7	Herpes:Q9QR71
Q5SY16	Herpes:F5HCJ2
Q5T0T0	Herpes:F5HF36
Q5UCC4	Herpes:Q98146
Q68D85	Herpes:P0C788
Q6P587	Herpes:P0C788
Q71F23	Herpes:Q9QR71
Q7Z4Q2	Herpes:Q2HRD4
Q7Z5N4	Herpes:F5HCV3
Q7Z6M1	Herpes:P90489
Q86XK2	Herpes:F5HCJ2
